Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Kitchen sink & tap set,25811
Sink & tap pack,25812
"Sink, tap & waste kit",13311
Extra flat waste system,25799
Food waste disposer,25800
Kitchen sink waste disposer,21397
Kitchen scales,36217
Soda maker,34200
Air fryer,34180
Hot plate,34198
Warming tray,34210
Multi cooker,34197
Pressure cooker,34209
Ice cube maker,6849
Bun warmer rack,6843
Sandwich rack,34205
Cafetiere,34190
Coffee pot,34189
Rice cooker,34185
Cake maker,34184
Candy floss maker,34217
Chocolate fountain,34212
Crepe maker,34204
Dessert maker,34221
Commercial fryer,34211
Deep fat fryer,34216
Deep fryer,34220
Fryer,34199
Slow cooker,33555
2 slice toaster,34582
4 slice toaster,34583
Toaster,25195
Sandwich Toaster,25271
Cooker hood venting kit,25182
Combination microwave,25178
Microwave oven,34131
Microwave with grill,34136
Oven with microwave,29385
Coffee machine,34130
Coffee maker,27105
Bar tap,34738
Flame regulator,34743
Chimney sweep bag,33040
Fireplace bellows,30444
Fireplace coal tongs,26285
Fireplace tongs,30446
Flux brush,33695
Solder brush,33694
Blow torch,24683
Brazing torch,24686
Fine flame torch,29575
Flame power torch,29576
Gas brazing torch,29577
Gas torch,25506
Pen torch,29578
Power torch,29579
Soldering torch,24685
Swirl torch,29580
Swivel torch,29581
Torch,26882
Torch kit,29640
Trigger-start brazing torch,29641
End feed & solder ring starter kit,29435
Solder & flux kit,29444
Soldering iron & torch kit,18546
Soldering iron kit,24682
Soldering kit,18549
Soldering torch & point burner,25445
Soldering torch kit,25446
Woodworking vice,12948
Trigger clamp,24729
Toggle clamp,24728
Sash clamp,22873
Door clamp,24726
Workstand & vice,24650
Clamp jaws,24646
Tile levelling kit,35851
Tile breaker,34746
Tile levelling system kit,33793
Epoxy grout polishing kit,33791
Grout sponge kit,35082
Grouting kit,32652
Washboy grouting kit,33790
Grout remover,24689
Sealant removing tool,31471
Facing brick tool kit,33503
Tiling kit,24702
Tiling tool kit,29574
Washboy,30283
Washboy kit,30911
Profile gauge,24696
Grout sponge,24694
Grout rake,24693
Grout rake with wheel,32946
Grouting rake blade,29442
Grouting rake spare blade,29433
Rake blade,24692
Grout float,24691
Punch,24654
Pencil,22812
